Display Name,Organization (group),Site Name,Core Participant
California Precision Medicine Consortium,Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,2863
California Precision Medicine Consortium,Cedars-Sinai Medical Center,,76
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank Sabre Springs Donor Center (SSDC),68
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank North County Donor Center (NCDC),85
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank East County Donor Center (ECDC),55
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank Coastal Donor Center (CDC),77
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank Carmel Valley Donor Center (CVDC),38
California Precision Medicine Consortium,HPO San Diego Blood Bank,San Diego Blood Bank (SDBB),342
California Precision Medicine Consortium,University of California Irvine School of Medicine,"University of California, Irvine (UCIMC)",3436
California Precision Medicine Consortium,University of California Irvine School of Medicine,"University of California, Irvine (Santa Ana)",2014
California Precision Medicine Consortium,University of California Irvine School of Medicine,"University of California, Irvine (Herbert Eye Institute)",193
California Precision Medicine Consortium,University of California Irvine School of Medicine,"University of California, Irvine (Gottschalk Plaza Clinic)",5887
California Precision Medicine Consortium,University of California Irvine School of Medicine,"University of California, Irvine  (Anaheim)",1398
California Precision Medicine Consortium,University of California Irvine School of Medicine,,480
California Precision Medicine Consortium,"University of California, Davis",University of California Davis,4471
California Precision Medicine Consortium,"University of California, Davis",,1
California Precision Medicine Consortium,"University of California, San Diego",University of California San Diego School of Medicine Mobile Unit,34
California Precision Medicine Consortium,"University of California, San Diego",University of California San Diego School of Medicine,1656
California Precision Medicine Consortium,"University of California, San Diego",University of California San Diego Neurological Institute,22
California Precision Medicine Consortium,"University of California, San Diego",University of California San Diego Internal Medicine Clinic La Jolla,394
California Precision Medicine Consortium,"University of California, San Diego",University of California Perlman Clinic La Jolla,1025
California Precision Medicine Consortium,"University of California, San Diego",University California San Diego Jacobs Medical Center,48
California Precision Medicine Consortium,"University of California, San Diego",University California San Diego Hillcrest North,629
California Precision Medicine Consortium,"University of California, San Diego",University California San Diego 4th and Lewis Medical Offices Hillcrest,51
California Precision Medicine Consortium,"University of California, San Diego",,330
California Precision Medicine Consortium,"University of California, San Francisco",University of California San Francisco Mt. Zion Campus,1143
California Precision Medicine Consortium,"University of California, San Francisco",University of California San Francisco Clinical Research Center at Parnassus,912
California Precision Medicine Consortium,"University of California, San Francisco",,206
California Precision Medicine Consortium,University of Southern California,"University of Southern California, Keck School of Medicine Plaza Pharmacy",3824
California Precision Medicine Consortium,University of Southern California,"University of Southern California, Diabetes & Obesity Research Institute (DORI)",18
California Precision Medicine Consortium,University of Southern California,,399
California Precision Medicine Consortium,Unset,,1
